,PERIODICA,RAFAGA,PERMANENTER,PERMANENTE-NR,M-RAFAGA,DRIFT,OTROS,
Arts &amp; Humanities,0,1,15,0,0,1,8,
Business &amp; Finance,0,3,19,0,0,0,3,
Consumer Electronics,0,4,14,0,1,4,2,
Education &amp; Reference,1,1,15,0,0,0,8,
Entertainment &amp; Music,0,3,12,0,1,1,8,
Health,0,0,19,0,0,0,6,
Games &amp; Recreation,0,3,8,0,1,5,8,
Science &amp; Mathematics,2,0,14,0,0,0,9,
Beauty &amp; Style,1,2,12,0,0,1,9,
Sports,1,5,13,1,0,2,3,
Social Science,0,2,12,0,0,0,11,
Cars &amp; Transportation,0,1,21,0,0,0,3,
Dining Out,2,0,12,0,0,2,9,
Food &amp; Drink,0,1,16,0,0,1,7,
Home &amp; Garden,2,2,17,0,0,1,3,
Local Businesses,2,0,17,0,0,2,4,
Family &amp; Relationships,0,0,16,0,0,1,8,
News &amp; Events,1,12,5,0,0,0,7,
Pets,0,0,14,0,0,1,10,
Politics &amp; Government,0,14,5,0,0,2,4,
Environment,0,4,12,0,0,2,7,
Society &amp; Culture,0,4,11,0,2,1,7,
Travel,2,1,14,0,0,3,5,
Computers &amp; Internet,0,1,20,0,2,0,2,
Pregnancy &amp; Parenting,0,0,17,1,0,1,6,
Yahoo Products,0,2,17,0,1,0,5,
